,dato_tid,Solskinstid,Lufttemperatur,Vindretning,Vindstyrke,Lufttrykk
1789,2023-03-16 13:00:00,0.0,4.516666666666667,132.0,8.316666666666666,998.4666666666667
1790,2023-03-16 14:00:00,0.0,3.966666666666667,128.83333333333334,8.2,997.2166666666667
1791,2023-03-16 15:00:00,0.0,3.0,130.0,6.916666666666667,995.8000000000001
1792,2023-03-16 16:00:00,0.0,2.6166666666666667,133.66666666666666,7.366666666666667,994.3833333333333
1793,2023-03-16 17:00:00,0.0,2.65,136.83333333333334,7.633333333333333,993.25
1794,2023-03-16 18:00:00,0.0,2.7800000000000002,137.2,7.459999999999999,992.4399999999999
1795,2023-03-16 19:00:00,0.0,3.283333333333333,139.33333333333334,8.9,991.3833333333333
1796,2023-03-16 20:00:00,0.0,3.3333333333333335,140.66666666666666,9.466666666666667,990.3166666666666
1797,2023-03-16 21:00:00,0.0,3.283333333333333,141.0,8.933333333333334,989.6
1798,2023-03-16 22:00:00,0.0,3.75,142.66666666666666,8.700000000000001,988.6166666666667
1799,2023-03-16 23:00:00,0.0,4.033333333333333,147.5,7.516666666666667,988.0666666666667
1800,2023-03-17 00:00:00,0.0,4.066666666666666,156.16666666666666,6.733333333333333,988.1666666666666
1801,2023-03-17 01:00:00,0.0,4.683333333333334,154.5,6.766666666666667,988.3000000000001
1802,2023-03-17 02:00:00,0.0,4.916666666666667,157.33333333333334,5.716666666666666,988.25
1803,2023-03-17 03:00:00,0.0,5.116666666666666,157.66666666666666,6.1000000000000005,988.0666666666667
1804,2023-03-17 04:00:00,0.0,5.55,157.33333333333334,4.883333333333334,988.3166666666666
1805,2023-03-17 05:00:00,0.0,5.8500000000000005,150.5,5.433333333333334,988.35
1806,2023-03-17 06:00:00,0.0,5.883333333333333,145.0,5.866666666666667,988.4666666666667
1807,2023-03-17 07:00:00,0.0,6.183333333333334,145.66666666666666,5.6000000000000005,988.6666666666666
1808,2023-03-17 08:00:00,0.0,6.1000000000000005,149.33333333333334,6.283333333333334,988.8833333333333
1809,2023-03-17 09:00:00,0.0,6.1000000000000005,141.16666666666666,5.133333333333333,989.25
1810,2023-03-17 10:00:00,0.0,6.55,148.66666666666666,4.383333333333334,989.5
1811,2023-03-17 11:00:00,0.0,6.733333333333333,149.16666666666666,6.283333333333334,989.9333333333334
1812,2023-03-17 12:00:00,0.0,6.7,144.0,5.733333333333333,990.3333333333334
1813,2023-03-17 13:00:00,0.0,6.8999999999999995,142.5,4.7,991.0166666666668
1814,2023-03-17 14:00:00,0.0,6.883333333333333,148.83333333333334,3.6666666666666665,991.3666666666667
1815,2023-03-17 15:00:00,0.0,6.7,212.33333333333334,1.95,991.85
1816,2023-03-17 16:00:00,0.0,6.5,244.5,1.4000000000000001,992.5666666666666
1817,2023-03-17 17:00:00,0.0,6.225,217.75,0.9750000000000001,993.225
1818,2023-03-17 18:00:00,0.0,6.066666666666666,243.5,0.9166666666666666,993.9333333333334
1819,2023-03-17 19:00:00,0.0,5.933333333333334,273.3333333333333,1.4166666666666667,994.6999999999999
1820,2023-03-17 20:00:00,0.0,5.216666666666667,321.0,2.766666666666667,995.2833333333333
1821,2023-03-17 21:00:00,0.0,4.9,318.1666666666667,1.9666666666666668,996.0166666666668
1822,2023-03-17 22:00:00,0.0,4.8500000000000005,321.6666666666667,1.7333333333333334,996.6666666666666
1823,2023-03-17 23:00:00,0.0,3.85,313.8333333333333,0.4166666666666667,997.2833333333333
1824,2023-03-18 00:00:00,0.0,3.4,295.8333333333333,1.1500000000000001,997.8166666666666
1825,2023-03-18 01:00:00,0.0,3.033333333333333,312.3333333333333,1.0666666666666667,998.2166666666667
1826,2023-03-18 02:00:00,0.0,2.5,287.3333333333333,1.6166666666666665,998.5333333333333
1827,2023-03-18 03:00:00,0.0,1.9166666666666667,293.5,1.75,999.0666666666666
1828,2023-03-18 04:00:00,0.0,1.4833333333333334,288.0,1.5,999.4666666666667
1829,2023-03-18 05:00:00,0.0,1.2,253.66666666666666,1.7833333333333332,999.6999999999999
1830,2023-03-18 06:00:00,0.0,0.9833333333333334,277.5,1.9833333333333334,1000.0666666666666
1831,2023-03-18 07:00:00,0.0,1.3166666666666667,298.1666666666667,2.0166666666666666,1000.4333333333334
1832,2023-03-18 08:00:00,0.0,3.233333333333333,309.1666666666667,1.5333333333333332,1000.6666666666666
1833,2023-03-18 09:00:00,0.0,4.366666666666667,264.3333333333333,1.5,1000.9
